#{"t_start": 1709507487.822368, "env_id": "None"}
r,l,t
-77.317198,7,20.947289
-77.899398,7,21.020288
-81.430287,7,21.089288
-77.187274,7,21.155289
-78.04255,7,21.227289
-80.972488,6,21.291289
-77.449619,7,21.364289
-85.199705,5,21.412289
-82.356436,6,21.473289
-86.067296,5,21.525288
-86.797593,5,21.572289
-82.706507,6,21.629288
-86.350247,5,21.677289
-81.917485,6,21.738288
-85.28844,5,21.786293
-85.358597,5,21.837288
-85.800954,5,21.884288
-82.751249,6,21.943288
-83.499821,6,22.001288
-77.377219,7,22.072289
-84.796614,5,22.120289
-86.419867,5,22.169289
-85.820779,5,22.220289
-88.036244,5,22.275289
-84.976948,5,22.327288
-83.818907,6,22.389288
-86.841857,5,22.439288
-86.309769,5,22.490289
-84.453868,5,22.541288
-87.984369,5,22.592289
-88.546305,4,22.633289
-86.895633,5,22.684288
-87.189506,5,22.735289
-85.332275,6,22.797289
-82.382797,6,22.858289
-82.062296,6,22.92229
-73.959269,8,23.016289
-85.767547,6,23.086288
-80.93246,6,23.156288
-80.457355,7,23.231289
-77.69051,7,23.304288
-77.16544,7,23.372289
-81.793065,6,23.44829
-82.058237,6,23.524288
-85.293797,5,23.580289
-78.402472,7,23.664289
-86.388614,5,23.710288
-85.644061,5,23.766289
-87.50728,5,23.822291
-85.907677,5,23.879288
-85.125732,6,23.947289
-86.159431,5,24.023289
-88.937362,4,24.067288
-86.375123,5,24.127288
-85.564727,5,24.185288
-85.368978,5,24.245289
-83.059289,6,24.317288
-83.361321,6,24.391288
-85.179298,5,24.448289
-82.26688,6,24.515288
-86.854856,6,24.586289
-83.493801,6,24.657289
-81.374233,6,24.724289
-72.985525,8,24.817288
-78.01203,7,24.892289
-80.354538,6,24.958288
-73.800177,8,25.050288
-69.878492,9,25.150288
-81.727694,6,25.216288
-77.61983,7,25.302289
-85.604351,6,25.374307
-84.380791,6,25.441289
-76.3907,7,25.515288
-76.146355,7,25.595288
-76.515435,7,25.678288
-80.154285,6,25.741288
-76.328787,7,25.820288
-78.408569,7,25.907288
-81.032283,6,25.974288
-84.620631,7,26.054289
-77.841801,7,26.131289
-83.067031,6,26.197288
-82.512855,6,26.264289
-89.427827,5,26.327288
-87.313403,5,26.387288
-84.396635,6,26.448288
-88.391517,5,26.499288
-88.909981,5,26.556294
-81.354283,6,26.627288
-77.001672,7,26.702289
-81.661611,6,26.761289
-82.093862,6,26.832288
-73.941124,8,26.927289
-72.994113,8,27.024289
-80.557914,6,27.094288
-75.712592,8,27.192288
-82.357631,6,27.260289
-74.302131,8,27.356291
-76.270316,7,27.439295
-72.171959,8,27.529289
-73.708713,8,27.620288
-81.123704,6,27.691288
-77.521439,8,27.780289
-80.904056,6,27.843288
-76.305865,7,27.924288
-84.210352,5,27.980288
-77.272509,7,28.061288
-81.557204,6,28.136289
-79.250925,7,28.207288
-79.331691,7,28.277288
-75.689959,7,28.344289
-78.115628,7,28.411288
-84.858097,6,28.466289
-83.954717,5,28.516289
-70.763053,9,28.605292
-65.015884,10,28.700289
-73.539063,8,28.776289
-83.154547,6,28.834514
-72.231553,8,28.911513
-79.575348,7,28.977514
-80.777768,6,29.033513
-72.597179,8,29.113513
-77.842917,7,29.177513
-83.775942,5,29.22252
-80.409956,6,29.276513
-80.771475,6,29.329513
-83.02723,6,29.379514
-81.020801,7,29.444514
-80.428587,6,29.500513
-75.910665,8,29.575513
-73.051296,8,29.649513
-79.991094,6,29.703514
-85.352819,5,29.749513
-83.604759,5,29.796514
-71.808167,8,29.884516
-70.85647,9,29.975513
-72.02485,8,30.047513
-72.263333,8,30.122514
-72.201344,8,30.199513
-76.045275,8,30.274514
-71.957289,8,30.352513
-72.730487,8,30.434513
-72.049308,9,30.529514
-68.169173,9,30.617513
-75.593715,7,30.682513
-75.402789,7,30.754514
-67.362421,9,30.849514
-72.754231,8,30.921513
-76.35266,7,30.986513
-84.439566,5,31.038515
-83.59044,6,31.100513
-76.234996,7,31.170513
-82.931848,5,31.217513
-71.512358,8,31.300513
-76.754119,7,31.370513
-79.077,7,31.441514
-67.818382,9,31.540514
-76.7897,7,31.614513
-80.041362,6,31.679515
-76.313178,7,31.755513
-68.067918,9,31.843513
-63.746949,10,31.945513
-75.920476,7,32.013513
-79.547845,6,32.070513
-67.859844,9,32.156513
-67.558649,9,32.250514
-68.015231,9,32.340514
-67.820315,9,32.428515
-71.583047,8,32.510771
-67.168927,9,32.603771
-75.51671,7,32.672777
-71.490188,8,32.756773
-68.590996,9,32.848771
-71.213464,8,32.931771
-66.58407,9,33.030772
-71.213576,8,33.114771
-61.43279,11,33.217772
-67.421372,9,33.303771
-67.335107,9,33.387771
-78.669862,7,33.451771
-66.999652,9,33.531771
-71.387134,8,33.605771
-62.575567,10,33.695771
-75.739464,7,33.761771
-73.033276,8,33.834772
-76.884064,7,33.926771
-62.909543,10,34.030771
-67.13408,9,34.143907
-69.043921,9,34.235905
-65.509824,10,34.337905
-71.464348,8,34.413905
-66.436964,10,34.508905
-74.930859,7,34.574906
-71.327865,8,34.653905
-75.029907,7,34.721905
-72.303334,8,34.800905
-67.564003,9,34.886906
-66.105504,9,34.977905
-63.755248,10,35.071912
-73.675725,8,35.149905
-72.657905,8,35.227911
-64.766182,10,35.322906
-63.329403,10,35.417905
-64.838837,10,35.512906
-70.121944,9,35.595905
-70.30183,8,35.666905
-76.015551,7,35.729906
-67.298637,9,35.807905
-58.767187,11,35.901905
-58.571975,11,35.999905
-73.410769,8,36.074908
-66.606579,9,36.160905
-66.895822,9,36.247905
-55.410489,12,36.365905
-69.27113,9,36.448905
-75.046439,8,36.522905
-70.042281,9,36.609912
-72.422346,8,36.691905
-76.258666,7,36.757905
-76.215961,8,36.829905
-76.055941,7,36.891905
-63.548848,11,36.997905
-73.176856,8,37.070905
-80.623921,6,37.131905
-71.537441,8,37.209906
-76.247619,7,37.279905
-68.478495,9,37.360905
-71.6645,8,37.433905
-68.376811,9,37.515905
-71.032177,9,37.599905
-67.988988,9,37.679905
-54.405552,12,37.795905
-68.471141,9,37.886905
-66.343546,9,37.973905
-71.693034,8,38.045905
-67.7062,9,38.124905
-73.243217,8,38.199905
-69.02397,9,38.281905
-72.023285,9,38.362905
-55.012083,12,38.469905
-66.252708,10,38.57191
-68.769595,9,38.662905
-66.039701,9,38.742905
-63.785763,10,38.832905
-62.155221,10,38.956905
-67.116273,9,39.074905
-71.57001,8,39.157588
-69.54049,9,39.240586
-58.394845,11,39.258586
-61.90073,10,39.267586
-57.295741,11,39.277586
-58.498586,11,39.287586
-63.455608,10,39.296586
-65.775349,10,39.305585
-65.708447,10,39.314585
-50.160388,13,39.325586
-61.827599,11,39.335586
-61.677993,11,39.345586
-66.687938,9,39.353585
-62.891278,10,39.362586
-57.994275,11,39.373585
-49.930678,13,39.385586
-62.733937,10,39.394586
-61.724342,10,39.403586
-63.285588,10,39.412586
-71.100781,8,39.419586
-63.344069,10,39.428586
-61.396611,11,39.438586
-60.092716,11,39.448585
-65.036477,10,39.457586
-64.52638,10,39.466586
-62.1671,11,39.476585
-66.860645,9,39.484586
-71.992055,9,39.492586
-61.464479,10,39.500586
-67.082682,9,39.508586
-61.93198,10,39.517586
-59.952724,11,39.527586
-63.938812,10,39.536586
-56.754669,11,39.545586
-62.372126,10,39.554585
-62.984532,10,39.563586
-54.451981,12,39.574586
-61.622334,10,39.583586
-60.01075,11,39.592586
-67.33425,9,39.600585
-61.230057,10,39.609586
-64.903258,10,39.618586
-67.611734,9,39.627586
-49.655232,13,39.639586
-64.341249,10,39.648586
-64.51303,10,39.658586
