#{"t_start": 1709072142.2623208, "env_id": "None"}
r,l,t
-10000.0,1,13.180763
-10019.572,2,13.211764
-10055.845,4,13.269764
-10025.248,3,13.314764
-10034.773,6,13.405772
-10031.092,5,13.481766
-10043.899,3,13.527767
-10000.0,1,13.541768
-10033.722,4,13.601767
-10016.919,2,13.634767
-10104.943,7,13.741846
-10081.751,6,13.822764
-10062.84,4,13.881764
-10117.019,7,13.980276
-10000.0,1,13.997276
-10065.634,4,14.061276
-10085.806,7,14.173276
-10022.395,2,14.204276
-10059.767,5,14.285276
-10071.696,8,14.414276
-10000.0,1,14.430276
-10076.071,5,14.506279
-10024.246,2,14.538276
-10041.79,3,14.586276
-10000.0,1,14.604276
-10067.19,5,14.689277
-10035.3,5,14.767277
-10091.169,6,14.858276
-10009.322,2,14.890277
-10018.257,2,14.920276
-10007.094,2,14.950276
-10053.637,6,15.048276
-10080.463,6,15.146276
-10132.231,7,15.265637
-10038.377,3,15.313559
-10000.0,1,15.330554
-10000.0,1,15.347566
-10000.0,1,15.363554
-10095.512,7,15.470566
-10106.987,7,15.574565
-10158.708,7,15.676554
-10073.489,6,15.761559
-10099.742,7,15.865554
-10000.0,1,15.880555
-10058.506,7,15.997565
-10060.124,5,16.073563
-10026.353,2,16.101554
-10060.211,4,16.160555
-10027.531,4,16.222554
-10075.404,6,16.312553
-10073.459,4,16.371553
-10015.568,2,16.400554
-10162.502,9,16.533553
-10241.657,14,16.735554
-10084.276,7,16.838571
-10248.719,15,17.062565
-10186.769,14,17.264554
-10074.646,7,17.373554
-10073.487,4,17.434553
-10248.828,15,17.659554
-10061.531,4,17.721554
-10076.741,4,17.784553
-10043.246,3,17.831553
-10408.002,22,18.166553
-10097.31,7,18.273554
-10113.684,7,18.383554
-10110.699,8,18.506554
-10766.995,35,19.011555
-10280.257,14,19.219554
-10074.676,9,19.360559
-10037.874,3,19.409561
-10239.9795,21,19.728554
-10516.13,25,20.118555
-10058.213,8,20.238571
-10084.524,5,20.314554
-10028.274,6,20.404554
-10211.299,16,20.634557
-10426.443,27,21.017553
-10174.182,9,21.150554
-10548.012,33,21.626554
-10471.218,28,22.025554
-10213.994,18,22.285566
-10000.0,1,22.300554
-10000.0,1,22.314554
-10107.638,10,22.459554
-10000.0,1,22.473555
-10074.035,9,22.599553
-10306.846,18,22.837554
-10046.271,4,22.891554
-10228.613,25,23.227553
-10080.829,8,23.333554
-10075.23,5,23.402554
-10136.883,11,23.547553
-10627.049,37,24.031554
-10073.6455,8,24.140554
-10024.603,2,24.167554
-10018.123,2,24.196554
-10260.877,17,24.422565
-10106.406,14,24.610554
-10050.794,6,24.690555
-10048.23,4,24.745553
-10024.562,2,24.772554
-10236.824,21,25.062554
-10045.002,3,25.102553
-10974.993,45,25.704553
-10163.494,10,25.841553
-10012.903,3,25.880553
-10336.172,23,26.214554
-10000.0,1,26.229553
-10031.434,4,26.282553
-10054.607,5,26.348554
-10119.757,7,26.443553
-10015.284,2,26.473555
-10026.223,5,26.541559
-10198.132,12,26.714554
-10685.052,30,27.159565
-10059.4375,6,27.251554
-10045.382,6,27.333554
-10000.0,1,27.347554
-10032.98,3,27.389555
-10216.626,13,27.576565
-10044.069,5,27.648554
-10000.0,1,27.662554
-10056.74,7,27.763554
-10168.554,10,27.907555
-10040.56,4,27.964553
-10047.028,3,28.005568
-10064.887,6,28.093555
-10069.194,6,28.182565
-10000.0,1,28.196553
-10018.784,2,28.227553
-10632.722,32,28.685557
-10000.0,1,28.703557
-10054.69,6,28.790561
-10041.263,3,28.835557
-10023.662,3,28.878556
-10031.205,3,28.926557
-10100.183,6,29.018557
-10028.289,3,29.063558
-10069.174,6,29.155576
-10017.343,2,29.189565
-10191.839,14,29.381554
-10115.763,9,29.500553
-10032.125,3,29.540554
-10052.217,4,29.596554
-10320.302,17,29.829558
-10000.0,1,29.843554
-10000.0,1,29.859554
-10000.0,1,29.876554
