#{"t_start": 1709111915.0203152, "env_id": "None"}
r,l,t
-0.35,1,5.421741
-0.35,1,5.423741
-0.548926,7,5.436741
-0.38901,4,5.442742
-0.483677,7,5.456741
-0.35,1,5.458745
-0.648781,6,5.468742
-0.470189,4,5.475742
-0.423244,2,5.479741
-0.35,1,5.480741
-0.35,1,5.482741
-0.497968,5,5.490741
-0.35,1,5.491741
-0.393009,2,5.495741
-0.643043,4,5.502742
-0.380025,2,5.505742
-0.500501,4,5.512759
-0.635212,7,5.523742
-0.35,1,5.525742
-0.450543,4,5.533741
-0.403158,2,5.536741
-0.35,1,5.538742
-0.35,1,5.540742
-0.35,1,5.541742
-0.422,3,5.546742
-0.461323,4,5.553742
-0.448285,6,5.564743
-0.35,1,5.566742
-0.35,1,5.568742
-0.35,1,5.569742
-0.35,1,5.571742
-0.631865,9,5.587749
-0.35,1,5.588743
-0.35,1,5.590742
-0.35,1,5.592742
-0.419435,3,5.597743
-0.502588,5,5.606748
-0.456407,3,5.611742
-0.533638,5,5.620742
-0.390212,2,5.624742
-0.35,1,5.626743
-0.35,1,5.628743
-0.468734,4,5.634743
-0.438346,2,5.638743
-0.471473,4,5.644743
-0.403114,3,5.649743
-0.427608,3,5.655743
-0.35,1,5.657743
-0.35,1,5.658743
-0.38315,2,5.662743
-0.398123,2,5.665743
-0.539685,6,5.676744
-0.408078,2,5.680743
-0.515382,5,5.688743
-0.35,1,5.690743
-0.545256,7,5.702743
-0.35,1,5.704743
-0.35,1,5.706743
-0.35,1,5.707743
-0.469951,5,5.717749
-0.438168,3,5.722743
-0.539391,8,5.736743
-0.362013,2,5.739744
-0.35,1,5.741743
-0.35,1,5.743744
-0.369012,4,5.750758
-0.37725,2,5.753744
-0.35,1,5.754743
-0.35,1,5.756744
-0.524967,7,5.770753
-0.568952,5,5.779744
-0.35,1,5.781744
-0.35,1,5.782744
-0.665512,5,5.791744
-0.35,1,5.792744
-0.374693,2,5.797744
-0.372193,2,5.800744
-0.35,1,5.802745
-0.530916,6,5.812745
-0.452084,4,5.818744
-0.405715,3,5.823744
-0.378347,2,5.826744
-0.35,1,5.828773
-0.406061,2,5.832752
-0.687531,7,5.844746
-0.35,1,5.846744
-0.521142,4,5.853744
-0.380904,2,5.856744
-0.379938,2,5.859745
-0.35,1,5.861744
-0.35,1,5.863744
-0.875022,6,5.872744
-0.519098,8,5.887745
-0.614202,8,5.900744
-0.412112,2,5.904745
-0.413917,5,5.912745
-0.508423,7,5.925745
-0.415096,2,5.928745
-0.40408,2,5.932745
-0.622121,7,5.945747
-0.363853,2,5.949745
-0.479511,4,5.956745
-0.35,1,5.957745
-0.35,1,5.959745
-0.35,1,5.961745
-0.35,1,5.963745
-0.41784,2,5.967745
-0.433681,3,5.972745
-0.35,1,5.973745
-0.409519,3,5.979764
-0.35,1,5.981745
-0.412119,3,5.986746
-0.386075,3,5.991745
-0.377138,2,5.994745
-0.566798,5,6.003745
-0.40696,2,6.006745
-0.35,1,6.008746
-0.608963,6,6.019745
-0.522395,3,6.02475
-0.568796,7,6.037746
-0.35,1,6.039745
-0.521223,3,6.044771
-0.555096,5,6.053746
-0.398364,5,6.062745
-0.613127,7,6.074746
-0.35,1,6.076746
-0.35,1,6.077746
-0.44856,2,6.081746
-0.571666,5,6.090746
-0.639556,4,6.097746
-0.402611,2,6.102757
-0.449034,3,6.107746
-0.366624,2,6.110747
-0.35,1,6.112758
-0.406403,2,6.116746
-0.35,1,6.118746
-0.368614,3,6.123746
-0.468569,6,6.134753
-0.461474,5,6.142752
-0.473965,3,6.147754
-0.42737,3,6.152753
-0.434442,3,6.157753
-0.460308,2,6.160753
-0.553296,4,6.167754
-0.430032,5,6.178823
-0.540654,6,6.19082
-0.35,1,6.193825
-0.526502,9,6.207748
-0.35,1,6.209839
-0.35,1,6.212751
-0.35,1,6.214818
-0.35,1,6.21681
-0.35,1,6.218752
-0.446648,2,6.222816
-0.387301,4,6.229788
-0.414333,2,6.232818
-0.395826,2,6.235819
-0.450929,5,6.24682
-0.468138,3,6.250818
-0.453456,3,6.256846
-0.449201,2,6.261755
-0.375408,2,6.265754
-0.711222,12,6.288826
-0.432139,3,6.294757
-0.35,1,6.297838
-0.35,1,6.299817
-0.35,1,6.301817
-0.443462,3,6.307748
-0.374446,4,6.315747
-0.490613,3,6.321748
-0.362787,2,6.324747
-0.383633,3,6.330748
-0.65472,5,6.339748
-0.364275,2,6.343747
-0.447727,3,6.349747
-0.508124,4,6.358748
-0.445228,2,6.362748
-0.37297,2,6.368748
-0.565126,5,6.380748
-0.372586,2,6.384748
-0.458685,3,6.391749
-0.450285,3,6.398748
-0.517582,4,6.406748
-0.381325,3,6.413748
-0.442113,3,6.419748
-0.434243,3,6.425748
-0.433818,6,6.438753
-0.419511,3,6.445749
-0.557252,3,6.455749
-0.35,1,6.457749
-0.403868,3,6.464748
-0.42794,4,6.473748
-0.35,1,6.475749
-0.35,1,6.477749
-0.43905,3,6.484749
-0.35,1,6.486749
-0.35,1,6.488749
-0.360379,2,6.493749
-0.35,1,6.495749
-0.35,1,6.497749
-0.35,1,6.499749
-0.35,1,6.501749
-0.439553,3,6.508749
-0.35,1,6.509749
-0.35,1,6.512748
-0.35,1,6.514749
-0.44024,3,6.520749
-0.396701,2,6.524749
-0.649461,6,6.537749
-0.517024,4,6.54375
-0.375755,3,6.549749
-0.458463,3,6.554749
-0.35,1,6.555749
-0.567957,7,6.567749
-0.358305,2,6.570749
-0.35,1,6.572749
-0.411638,4,6.578749
-0.462085,3,6.584767
-0.35,1,6.586749
-0.428206,3,6.591749
-0.431047,2,6.594758
-0.433841,3,6.599749
-0.446896,3,6.604749
-0.355586,2,6.60775
-0.516906,3,6.613765
-0.35,1,6.615749
-0.355088,2,6.618749
-0.385489,2,6.62175
-0.35,1,6.622749
-0.37489,4,6.629765
-0.471189,3,6.633749
-0.35,1,6.63575
-0.469378,4,6.641749
-0.384077,2,6.64575
-0.467454,3,6.64975
-0.42725,2,6.653749
-0.35,1,6.654749
