#{"t_start": 1709507286.2286575, "env_id": "None"}
r,l,t
-86.345328,6,11.923068
-82.801763,6,11.952068
-90.540247,5,11.978068
-85.656528,6,12.001068
-85.447074,7,12.030061
-89.243974,4,12.064071
-90.274374,4,12.085068
-84.525018,6,12.106068
-90.577751,5,12.133069
-90.82817,4,12.157069
-92.10146,4,12.175069
-91.117888,5,12.19407
-83.787952,5,12.222068
-92.949435,4,12.247062
-92.150603,4,12.268061
-82.372989,5,12.291061
-89.764303,4,12.318063
-85.618765,7,12.343071
-91.384469,4,12.377068
-91.905668,4,12.399071
-91.191195,5,12.42007
-89.658517,5,12.449062
-86.530623,5,12.475068
-91.011154,4,12.501074
-88.619731,6,12.524068
-92.524826,5,12.559061
-88.34784,5,12.584061
-92.857122,4,12.610068
-89.271003,5,12.632061
-90.656912,5,12.658061
-90.864969,5,12.686063
-88.792185,5,12.711068
-87.60193,7,12.739068
-91.769454,5,12.774061
-79.656998,7,12.803061
-85.900324,6,12.836067
-90.451655,5,12.868068
-91.453994,4,12.896068
-89.105385,5,12.918068
-87.417084,5,12.943068
-91.172488,4,12.96906
-90.228853,5,12.993068
-82.91476,6,13.021064
-90.359527,5,13.051068
-87.445959,4,13.079068
-91.673789,4,13.101068
-93.585963,5,13.123069
-90.57007,5,13.148071
-91.032326,4,13.175068
-90.045646,5,13.198061
-90.290611,6,13.224068
-89.248627,5,13.257068
-81.981077,5,13.288061
-88.889176,5,13.32006
-91.4126,5,13.352061
-91.590658,4,13.379069
-89.260144,5,13.403061
-89.119019,6,13.43306
-92.70586,5,13.462068
-85.468995,5,13.488069
-88.568138,5,13.515061
-87.13696,6,13.543068
-89.310225,4,13.574068
-90.142627,5,13.596068
-92.838175,5,13.623068
-91.323364,5,13.650069
-91.391049,4,13.677068
-93.767608,4,13.697061
-91.388723,4,13.718068
-91.643884,4,13.741068
-90.021605,5,13.764061
-82.546181,6,13.789068
-94.909099,4,13.819062
-83.110794,6,13.843068
-94.766894,4,13.873068
-90.148904,5,13.895068
-91.377338,5,13.925068
-92.315485,5,13.954069
-93.354195,4,13.981071
-93.931084,4,14.00206
-93.204811,5,14.024068
-91.746534,4,14.049071
-92.350174,4,14.070061
-90.529602,5,14.092068
-90.22429,5,14.120068
-94.152873,5,14.146068
-89.645576,5,14.173069
-89.338271,5,14.197061
-89.378366,5,14.224068
-86.865928,5,14.251068
-81.838268,7,14.281061
-85.019459,7,14.312068
-89.699422,6,14.34706
-84.35676,6,14.379068
-86.164104,6,14.40706
-90.727072,5,14.437069
-87.709429,5,14.462061
-90.291026,5,14.491073
-84.721992,6,14.51706
-92.471081,4,14.549062
-89.135333,6,14.573062
-93.417379,4,14.60507
-90.292431,5,14.627068
-87.796187,5,14.654068
-87.130912,5,14.679068
-82.510336,6,14.710068
-89.65624,4,14.739068
-92.360445,5,14.760068
-91.30925,5,14.784069
-91.252089,5,14.81406
-91.937423,4,14.839069
-94.289309,4,14.861069
-93.348703,5,14.88206
-91.446284,4,14.908068
-94.052262,4,14.927061
-91.960045,5,14.948061
-89.301468,5,14.974069
-87.77146,6,15.005069
-91.416854,5,15.036062
-91.236578,5,15.061069
-94.167601,4,15.088069
-93.743096,5,15.113068
-90.294633,4,15.137069
