#{"t_start": 1713291736.0032778, "env_id": "None"}
r,l,t
-367.555679,108,310.480622
-467.626648,108,311.105622
-483.853467,114,311.731622
-620.590451,119,312.401616
-415.844942,107,313.103622
-450.508908,108,313.767615
-402.915291,108,314.484622
-410.614288,111,315.198615
-404.22155,111,315.866615
-632.987264,121,316.541617
-495.516534,115,317.247617
-753.355797,134,317.964617
-516.285621,117,318.730617
-405.710446,112,319.380622
-423.003143,112,320.038622
-337.657103,110,320.716617
-427.044822,110,321.374627
-468.361322,102,322.016622
-647.307542,129,322.669615
-430.326604,140,323.461615
-585.45264,215,324.427614
-1620.402533,195,325.758617
-1031.260183,129,327.094615
-1002.955116,129,327.999617
-1142.770332,129,328.820617
-570.092242,101,330.085617
-736.727913,108,331.494617
-806.033486,112,332.533616
-585.937997,101,333.354616
-1002.245921,129,334.160618
-1058.152204,129,335.054617
-886.0764,129,336.000616
-860.935339,129,336.892617
-541.082759,139,337.760618
-533.997133,112,338.570617
-614.732321,164,339.351617
-645.617431,208,340.447616
-438.774891,208,341.721628
-2202.994577,339,343.345616
-1267.996202,180,345.123615
-2516.537183,376,346.729617
-256.836847,152,348.642617
-398.91323,114,349.475622
-588.106626,140,350.207617
-355.587629,189,351.169615
-570.891026,119,352.200617
-533.621888,152,352.974315
-663.577253,108,353.788306
-796.924513,123,354.462299
-564.342245,119,355.1793
-397.94166,118,355.898299
-936.298975,178,356.740305
-684.180901,116,357.728306
-892.4066,116,358.434306
-1114.184003,139,359.143306
-1060.318983,148,359.992298
-767.542005,138,360.865305
-716.728096,149,361.7433
-523.037868,149,362.7093
-320.696649,160,363.648298
18.224202,299,364.913301
-493.328162,114,366.301299
-645.123281,101,366.935305
-611.262353,101,367.524298
-619.416961,101,368.107305
-575.930806,117,368.714298
-892.509518,112,369.401299
-745.042089,119,370.0833
-860.757104,139,370.822305
-475.743371,112,371.582306
-382.101855,121,372.2573
-321.717202,121,372.9923
-397.230872,115,373.728301
-399.233425,126,374.4343
-441.238222,149,375.246301
-667.576009,205,376.233299
-1217.890271,288,377.7143
-615.229289,110,379.155305
-546.00765,125,379.809298
-418.238699,112,380.534299
-380.934931,114,381.211299
-704.802144,140,381.974298
-522.603697,149,382.890298
-557.38219,129,383.7833
-504.49473,112,384.527305
-593.93604,129,385.204305
-601.200096,128,385.954298
-542.542696,124,386.716305
-616.008695,117,387.429298
-808.390323,115,388.107298
-884.016089,125,388.812298
-645.250592,106,389.508298
-610.939108,106,390.141298
-663.735094,106,390.769298
-651.95372,106,391.410298
-665.891145,108,392.056299
-733.54205,113,392.742302
-743.671665,117,393.444302
-576.249038,108,394.136311
-623.291402,112,394.789311
-516.962881,108,395.463301
-572.881543,108,396.113301
-523.251167,106,396.759301
-565.726734,105,397.40431
-546.873041,110,398.060297
-725.675558,138,398.812299
-917.691244,124,399.6243
-850.305995,129,400.37131
-631.70837,113,401.082301
-913.807947,133,401.796302
-719.921545,127,402.60431
-775.290503,133,403.36031
-1064.961424,158,404.171298
-700.801475,133,405.059298
-802.516899,144,405.869298
-268.612294,118,406.65531
-716.288261,158,407.401301
-343.561201,158,408.35231
-31.340151,143,409.242311
-13.882138,124,410.03431
-74.475703,126,410.796298
-515.849523,144,411.61631
9.41475,168,412.48331
-196.325909,119,413.368886
-324.375672,126,414.097885
-277.249443,139,414.868888
-333.744779,122,415.673886
-528.44266,155,416.454888
-561.970433,157,417.377888
-611.754108,152,418.312894
-865.117482,139,419.166894
-1125.233675,186,420.074884
-1588.043759,236,421.248895
-936.425839,159,422.533884
-2026.267261,257,423.761898
-397.33626,92,425.022891
-534.59433,108,425.611894
-441.695352,93,426.229882
-540.280986,106,426.828886
